distance_pixel,distance_cm
54,70.44630084
55.25252525,69.40878299
56.50505051,68.38199274
57.75757576,67.3659301
59.01010101,66.36059505
60.26262626,65.3659876
61.51515152,64.38210776
62.76767677,63.40895551
64.02020202,62.44653087
65.27272727,61.49483383
66.52525253,60.55386439
67.77777778,59.62362255
69.03030303,58.70410831
70.28282828,57.79532168
71.53535354,56.89726264
72.78787879,56.00993121
74.04040404,55.13332737
75.29292929,54.26745114
76.54545455,53.41230251
77.7979798,52.56788148
79.05050505,51.73418805
80.3030303,50.91122223
81.55555556,50.098984
82.80808081,49.29747337
84.06060606,48.50669035
85.31313131,47.72663493
86.56565657,46.95730711
87.81818182,46.19870689
89.07070707,45.45083427
90.32323232,44.71368925
91.57575758,43.98727183
92.82828283,43.27158202
94.08080808,42.5666198
95.33333333,41.87238519
96.58585859,41.18887818
97.83838384,40.51609876
99.09090909,39.85404695
100.3434343,39.20272275
101.5959596,38.56212614
102.8484848,37.93225713
104.1010101,37.31311573
105.3535354,36.70470192
106.6060606,36.10701572
107.8585859,35.52005712
109.1111111,34.94382612
110.3636364,34.37832272
111.6161616,33.82354692
112.8686869,33.27949872
114.1212121,32.74617813
115.3737374,32.22358513
116.6262626,31.71171974
117.8787879,31.21058195
119.1313131,30.72017176
120.3838384,30.24048917
121.6363636,29.77153418
122.8888889,29.31330679
124.1414141,28.865807
125.3939394,28.42903482
126.6464646,28.00299023
127.8989899,27.58767325
129.1515152,27.18308387
130.4040404,26.78922209
131.6565657,26.40608791
132.9090909,26.03368133
134.1616162,25.67200235
135.4141414,25.32105098
136.6666667,24.9808272
137.9191919,24.65133103
139.1717172,24.33256246
140.4242424,24.02452148
141.6767677,23.72720811
142.9292929,23.44062234
144.1818182,23.16476418
145.4343434,22.89963361
146.6868687,22.64523064
147.9393939,22.40155528
149.1919192,22.16860752
150.4444444,21.94638736
151.6969697,21.73489479
152.9494949,21.53412983
154.2020202,21.34409248
155.4545455,21.16478272
156.7070707,20.99620056
157.959596,20.83834601
159.2121212,20.69121905
160.4646465,20.5548197
161.7171717,20.42914795
162.969697,20.3142038
164.2222222,20.20998725
165.4747475,20.1164983
166.7272727,20.03373696
167.979798,19.96170321
169.2323232,19.90039707
170.4848485,19.84981852
171.7373737,19.80996758
172.989899,19.78084424
174.2424242,19.7624485
175.4949495,19.75478036
176.7474747,19.75783982
178,19.77162689
